"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$36,254,572,012","0.00%","25.61","1.38","4.71","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$36,025,362,784","5.56%","16.57","6.96","11.33","Analyze"
"LYB","Lyondellbasell Industries NV","Common stocks","Large cap","Materials","$35,982,704,161","4.12%","6.28","0.72","2.90","Analyze"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$35,979,319,447","0.77%","83.17","15.12","-6.71","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$35,661,743,822","1.58%","21.52","2.28","4.07","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$35,648,980,962","0.95%","47.87","16.78","-41.25","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$35,598,860,000","0.00%","52.31","7.65","3.36","Analyze"
"ED","Consolidated Edison Inc","Common stocks","Large cap","Utilities","$34,756,333,418","3.15%","22.82","2.47","1.71","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$34,447,042,479","1.39%","4.46","0.86","2.34","Analyze"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$34,411,991,571","1.85%","22.14","2.16","1.32","Analyze"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$34,144,314,530","2.26%","-26.52","3.73","2.53","Analyze"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$34,095,186,838","0.00%","38.92","6.79","-11.92","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$34,042,855,518","1.78%","20.80","5.12","-4.04","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$34,031,016,000","1.22%","35.66","4.02","3.82","Analyze"
"IFF","International Flavors & Fragrances","Common stocks","Large cap","Materials","$33,788,972,674","2.35%","61.66","2.72","1.64","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$33,564,926,127","1.36%","12.76","1.63","4.78","Analyze"
"WEC","WEC Energy Group Inc","Common stocks","Large cap","Utilities","$32,902,975,929","2.66%","24.56","3.86","2.95","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$32,328,860,728","1.81%","22.56","2.23","5.45","Analyze"
"MTB","M&T Bank Corp","Common stocks","Large cap","Financials","$31,911,187,657","2.63%","19.19","5.36","1.81","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$31,908,358,818","0.00%","34.47","10.11","7.74","Analyze"
"TSN","Tyson Foods Inc Class A","Common stocks","Large cap","Consumer Staples","$31,854,617,280","2.08%","6.36","0.62","1.36","Analyze"
"ES","Eversource Energy","Common stocks","Large cap","Utilities","$31,825,354,390","2.69%","24.67","3.03","2.16","Analyze"
"OTIS","Otis Worldwide Corporation","Common stocks","Large cap","Industrials","$31,794,140,910","1.34%","25.89","2.22","-6.43","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$31,502,918,131","2.14%","32.15","5.00","10.07","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$31,269,172,267","0.00%","43.09","9.55","49.47","Analyze"
"DFS","Discover Financial Services","Common stocks","Large cap","Financials","$31,187,125,656","1.88%","6.35","2.56","2.37","Analyze"
"BF.B","Brown Forman Inc Class B","Common stocks","Large cap","Consumer Staples","$31,078,969,342","0.83%","25.33","8.29","8.11","Analyze"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$30,844,119,507","0.79%","40.26","8.97","9.57","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$30,818,640,798","1.51%","15.52","1.28","2.55","Analyze"
"ABC","AmerisourceBergen Corp","Common stocks","Large cap","Health Care","$30,768,174,305","1.23%","18.14","0.13","56.93","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$30,497,829,128","0.37%","26.68","5.42","8.64","Analyze"
"GLW","Corning Inc","Common stocks","Large cap","Information Technology","$30,313,142,553","2.81%","27.90","2.09","2.44","Analyze"
"TWTR","Twitter Inc","Common stocks","Large cap","Communication Services","$30,207,127,205","0.00%","136.87","5.76","5.19","Analyze"
"ALB","Albemarle Corp","Common stocks","Large cap","Materials","$30,190,480,871","0.61%","107.34","8.33","5.18","Analyze"
"AMP","Ameriprise Finance Inc","Common stocks","Large cap","Financials","$30,144,602,969","1.68%","9.87","2.18","6.08","Analyze"
"PPG","PPG Industries Inc","Common stocks","Large cap","Materials","$30,027,387,334","1.84%","28.19","1.74","4.89","Analyze"
"CMI","Cummins Inc","Common stocks","Large cap","Industrials","$30,004,450,785","2.73%","15.61","1.23","3.60","Analyze"
"OKE","Oneok Inc","Common stocks","Large cap","Energy","$29,985,800,321","5.45%","20.54","1.60","5.15","Analyze"
"APTV","Aptiv Plc","Common stocks","Large cap","Consumer Discretionary","$29,772,599,348","0.00%","92.56","1.89","3.54","Analyze"
"MTD","Mettler Toledo Inc","Common stocks","Large cap","Health Care","$29,649,255,563","0.00%","37.70","7.78","353.60","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$29,076,676,467","0.00%","142.95","11.31","13.82","Analyze"
"WY","Weyerhaeuser Company","REITs","Large cap","Real Estate","$28,990,752,120","1.75%","10.79","2.68","2.84","Analyze"
"CTRA","Coterra Energy Inc.","Common stocks","Large cap","Energy","$28,968,695,466","1.47%","17.74","6.20","2.48","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$28,867,156,282","0.00%","20.31","2.67","2.62","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$28,578,739,012","1.46%","24.88","1.51","6.97","Analyze"
"TROW","T Rowe Price Group Inc","Common stocks","Large cap","Financials","$28,484,812,293","3.49%","10.02","3.70","3.17","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$28,440,414,964","0.00%","16.93","5.06","1.81","Analyze"
"AME","Ametek Inc","Common stocks","Large cap","Industrials","$28,270,312,402","0.67%","27.37","4.88","4.12","Analyze"
"AWK","American Water Works Inc","Common stocks","Large cap","Utilities","$28,189,933,108","1.58%","22.13","7.26","3.82","Analyze"
"AVB","AvalonBay Communities, Inc","REITs","Large cap","Real Estate","$28,075,499,379","3.14%","25.48","11.91","2.61","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$27,946,794,626","0.00%","170.96","18.37","85.52","Analyze"
"CERN","Cerner Corp","Common stocks","Large cap","Health Care","$27,930,495,987","1.03%","67.45","4.81","7.14","Analyze"
"EQR","Equity Residential","REITs","Large cap","Real Estate","$27,765,685,070","3.26%","21.23","11.02","2.64","Analyze"
"FANG","Diamondback Energy Inc","Common stocks","Large cap","Energy","$27,655,126,836","1.43%","10.39","3.45","2.23","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$27,528,633,285","0.68%","27.61","9.03","10.42","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$27,315,709,160","0.00%","25.58","8.11","6.36","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$27,125,875,287","0.00%","14.82","6.81","6.05","Analyze"
"FITB","Fifth Third Bancorp","Common stocks","Large cap","Financials","$26,974,224,933","2.94%","11.02","3.83","1.34","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$26,687,674,575","1.67%","2.29","2.60","3.77","Analyze"
"DHI","D R Horton Inc","Common stocks","Large cap","Consumer Discretionary","$26,613,486,976","1.15%","5.28","0.87","1.58","Analyze"
"FRC","First Republic Bank","Common stocks","Large cap","Financials","$26,578,274,040","0.60%","19.35","5.10","1.71","Analyze"
"ARE","Alexandria Real Estate Equities, Inc","REITs","Large cap","Real Estate","$26,534,334,491","2.77%","66.56","11.80","1.58","Analyze"
"EIX","Edison International","Common stocks","Large cap","Utilities","$26,427,255,308","3.87%","45.79","1.66","1.70","Analyze"
"CBRE","CBRE Group Inc","Common stocks","Large cap","Real Estate","$26,387,452,524","0.00%","13.43","0.91","3.11","Analyze"
"KEYS","Keysight Technologies Inc","Common stocks","Large cap","Information Technology","$26,385,469,370","0.00%","26.11","5.13","7.07","Analyze"
"LUV","Southwest Airlines","Common stocks","Large cap","Industrials","$26,339,124,976","0.00%","45.57","1.43","2.55","Analyze"
"STT","State Street Corp","Common stocks","Large cap","Financials","$26,215,697,146","3.09%","10.05","2.31","1.02","Analyze"
"DTE","DTE Energy","Common stocks","Large cap","Utilities","$25,684,001,237","2.63%","28.76","1.59","2.93","Analyze"
"GWW","W.W. Grainger Inc","Common stocks","Large cap","Industrials","$25,485,933,884","1.31%","22.13","1.88","12.45","Analyze"
"DAL","Delta Air Lines Inc","Common stocks","Large cap","Industrials","$25,001,982,057","0.00%","49.37","0.71","8.52","Analyze"
"ROK","Rockwell Automation Inc","Common stocks","Large cap","Industrials","$24,979,960,500","2.05%","39.18","3.41","9.60","Analyze"
"HRL","Hormel Foods Corp","Common stocks","Large cap","Consumer Staples","$24,900,135,132","2.20%","26.90","2.08","3.51","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Common stocks","Large cap","Health Care","$24,816,053,658","0.81%","62.17","3.24","2.08","Analyze"
"ETR","Entergy Corp","Common stocks","Large cap","Utilities","$24,677,438,533","3.24%","23.27","2.10","2.09","Analyze"
"EFX","Equifax Inc","Common stocks","Large cap","Industrials","$24,402,186,187","0.78%","32.09","4.81","6.40","Analyze"
"MKC","McCormick & Co  Non-voting","Common stocks","Large cap","Consumer Staples","$23,933,773,348","1.57%","29.97","3.76","4.88","Analyze"
"HIG","Hartford Financial Services Group","Common stocks","Large cap","Financials","$23,931,478,688","2.06%","9.48","1.11","1.52","Analyze"
"AEE","Ameren Corp","Common stocks","Large cap","Utilities","$23,901,445,395","2.39%","23.99","3.56","2.47","Analyze"
"FE","Firstenergy Corp","Common stocks","Large cap","Utilities","$23,882,096,436","3.68%","19.35","2.10","2.73","Analyze"
"CDW","CDW Corp","Common stocks","Large cap","Information Technology","$23,743,885,476","1.08%","23.92","1.08","26.94","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$23,681,351,991","0.00%","84.77","7.60","-196.62","Analyze"
"BALL","Ball Corporation","Common stocks","Large cap","Materials","$23,590,826,046","1.08%","21.10","1.64","6.08","Analyze"
"EXR","Extra Space Storage Inc","REITs","Large cap","Real Estate","$23,511,061,038","2.83%","29.19","14.15","7.53","Analyze"
"LEN","Lennar Corporation Class A","Common stocks","Large cap","Consumer Discretionary","$23,466,500,432","1.53%","5.34","0.84","1.02","Analyze"
"WTW","Willis Towers Watson Public Limited Company","Common stocks","Large cap","Financials","$23,219,655,537","1.16%","5.41","2.54","2.13","Analyze"
"K","Kellogg","Common stocks","Large cap","Consumer Staples","$23,127,378,306","3.37%","15.12","1.62","6.14","Analyze"
"NTRS","Northern Trust Corporation","Common stocks","Large cap","Financials","$22,973,874,383","2.52%","15.45","3.60","2.04","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$22,891,587,922","0.23%","34.24","7.95","10.07","Analyze"
"FTV","Fortive Corp","Common stocks","Large cap","Industrials","$22,582,217,637","0.44%","35.41","4.20","2.39","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$22,523,481,870","0.00%","50.53","11.44","5.25","Analyze"
"LH","Laboratory Corporation Of America","Common stocks","Large cap","Health Care","$22,431,546,000","0.30%","10.84","1.41","2.12","Analyze"
"TSCO","Tractor Supply","Common stocks","Large cap","Consumer Discretionary","$22,274,513,319","1.44%","22.43","1.72","12.57","Analyze"
"MRO","Marathon Oil Corp","Common stocks","Large cap","Energy","$22,228,569,881","0.82%","10.57","3.59","2.00","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$22,207,763,539","0.58%","93.22","4.84","3.47","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$22,171,109,773","3.21%","156.38","5.63","2.12","Analyze"
"VMC","Vulcan Materials","Common stocks","Large cap","Materials","$22,157,748,079","0.92%","37.24","3.68","3.42","Analyze"
"PPL","PPL Corporation","Common stocks","Large cap","Utilities","$22,055,013,210","4.73%","35.55","3.64","1.62","Analyze"
"URI","United Rentals Inc","Common stocks","Large cap","Industrials","$22,004,068,370","0.00%","14.45","2.16","3.68","Analyze"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$21,740,302,300","0.55%","79.96","16.33","16.65","Analyze"
"LYV","Live Nation Entertainment Inc","Common stocks","Large cap","Communication Services","$21,702,558,060","0.00%","-48.88","2.79","-42.33","Analyze"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$21,689,542,427","0.42%","-34.73","1.03","1.96","Analyze"
"MLM","Martin Marietta Materials Inc","Common stocks","Large cap","Materials","$21,688,844,023","0.70%","33.29","3.83","3.41","Analyze"
"MOS","Mosaic","Common stocks","Large cap","Materials","$21,560,321,663","0.69%","7.79","1.54","1.78","Analyze"
"IT","Gartner Inc","Common stocks","Large cap","Information Technology","$21,511,979,721","0.00%","26.85","4.40","182.22","Analyze"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$21,438,690,515","0.00%","22.13","2.48","14.21","Analyze"
"CHD","Church And Dwight Inc","Common stocks","Large cap","Consumer Staples","$21,405,130,091","1.16%","26.34","4.08","6.28","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$21,199,480,198","0.00%","30.53","5.26","5.88","Analyze"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$20,657,192,134","2.49%","20.86","2.69","2.13","Analyze"
"CINF","Cincinnati Financial Corp","Common stocks","Large cap","Financials","$20,544,714,246","2.00%","10.02","2.38","1.70","Analyze"
"DRE","Duke Realty Corporation","REITs","Large cap","Real Estate","$20,379,966,282","2.05%","19.89","18.62","3.26","Analyze"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$20,353,402,747","3.09%","8.90","3.50","1.21","Analyze"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$20,308,946,560","0.00%","29.30","7.08","55.06","Analyze"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$20,275,164,700","1.23%","13.65","1.94","2.39","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$20,272,322,823","3.51%","21.28","1.44","4.48","Analyze"
"EXPE","Expedia Inc","Common stocks","Large cap","Consumer Discretionary","$20,212,443,440","0.00%","92.46","2.11","9.57","Analyze"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$20,202,810,016","1.28%","19.03","3.97","3.27","Analyze"
"CFG","Citizens Financial Group Inc","Common stocks","Large cap","Financials","$20,120,063,400","3.79%","10.10","3.03","0.92","Analyze"
"MAA","Mid-America Apartment Communities, Inc","REITs","Large cap","Real Estate","$20,113,260,346","2.41%","34.60","11.00","3.47","Analyze"
"IR","Ingersoll Rand Plc","Common stocks","Large cap","Industrials","$20,024,520,536","0.12%","16.80","3.74","2.28","Analyze"
"CTLT","Catalent Inc","Common stocks","Large cap","Health Care","$19,933,888,352","0.00%","42.02","4.24","4.40","Analyze"
"CNP","Centerpoint Energy Inc","Common stocks","Large cap","Utilities","$19,852,814,742","2.12%","12.82","2.32","2.03","Analyze"
"PARA","Paramount Global - Class B","Common stocks","Large cap","Communication Services","$19,846,180,777","3.14%","4.57","0.70","0.82","Analyze"
"HPE","Hewlett Packard Enterprise","Common stocks","Large cap","Information Technology","$19,775,809,525","3.89%","5.36","0.71","0.98","Analyze"
"GPC","Genuine Parts","Common stocks","Large cap","Consumer Discretionary","$19,775,183,816","2.42%","21.51","1.00","5.54","Analyze"
"HBAN","Huntington Bancshares Inc","Common stocks","Large cap","Financials","$19,716,692,828","4.39%","18.26","3.15","1.07","Analyze"
"CF","CF Industries Holdings Inc","Common stocks","Large cap","Materials","$19,673,228,213","1.37%","11.69","2.35","4.82","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$19,472,682,937","0.00%","24.77","14.42","-15.27","Analyze"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$19,404,490,366","3.91%","13.91","1.67","5.31","Analyze"
"DOV","Dover Corp","Common stocks","Large cap","Industrials","$19,201,126,443","1.49%","17.56","2.37","4.53","Analyze"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$19,137,985,414","0.00%","22.00","6.35","6.61","Analyze"
"TDY","Teledyne Technologies Inc","Common stocks","Large cap","Information Technology","$19,052,862,436","0.00%","33.75","3.71","2.47","Analyze"
"EPAM","Epam Systems Inc","Common stocks","Large cap","Information Technology","$18,979,319,758","0.00%","42.24","4.57","7.65","Analyze"
"WRB","WR Berkley Corp","Common stocks","Large cap","Financials","$18,977,240,563","0.48%","13.85","1.85","2.79","Analyze"
"JBHT","JB Hunt Transport Services Inc","Common stocks","Large cap","Industrials","$18,973,131,687","0.77%","21.58","1.46","5.69","Analyze"
"PWR","Quanta Services Inc","Common stocks","Large cap","Industrials","$18,883,363,783","0.20%","39.97","1.33","3.74","Analyze"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Health Care","$18,775,938,721","0.19%","26.28","3.74","2.67","Analyze"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$18,735,990,473","0.00%","12.31","3.48","3.99","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$18,702,382,091","0.00%","10.37","0.97","1.58","Analyze"
"EXPD","Expeditors International Of Washington","Common stocks","Large cap","Industrials","$18,389,180,764","1.14%","12.44","1.02","4.77","Analyze"
"COO","Cooper Companies, Inc.","Common stocks","Large cap","Health Care","$18,381,704,166","0.02%","18.26","6.07","2.48","Analyze"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$18,363,805,901","1.51%","6.82","1.33","0.70","Analyze"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$18,363,805,901","1.40%","9.36","1.33","0.96","Analyze"
"KEY","Keycorp","Common stocks","Large cap","Financials","$18,332,377,285","3.87%","7.84","2.63","1.20","Analyze"
"PAYC","Paycom Software Inc","Common stocks","Large cap","Information Technology","$18,197,310,238","0.00%","82.93","16.01","18.35","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$18,164,064,402","2.60%","13.42","1.14","1.94","Analyze"
"GNRC","Generac Holdings Inc","Common stocks","Large cap","Industrials","$18,149,408,267","0.00%","36.26","4.46","8.10","Analyze"
"PFG","Principal Financial Group Inc","Common stocks","Large cap","Financials","$18,125,039,603","3.51%","11.62","1.28","1.53","Analyze"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$18,067,847,787","3.03%","47.02","12.31","3.10","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$17,948,284,438","2.44%","4.46","1.15","1.33","Analyze"
"BBY","Best Buy Inc","Common stocks","Large cap","Consumer Discretionary","$17,849,099,623","3.72%","10.26","0.00","5.84","Analyze"
"STX","Seagate Technology Plc","Common stocks","Large cap","Information Technology","$17,733,221,201","2.49%","13.58","1.52","43.12","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$17,614,712,991","0.00%","21.64","3.08","6.06","Analyze"
"IP","International Paper","Common stocks","Large cap","Materials","$17,515,942,561","3.91%","10.08","0.91","2.00","Analyze"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$17,474,014,358","0.65%","47.30","1.22","2.91","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$17,265,682,922","0.57%","29.15","2.18","1.72","Analyze"
"CE","Celanese Corporation","Common stocks","Large cap","Materials","$17,250,361,211","1.70%","8.44","1.86","3.79","Analyze"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$17,226,645,120","1.08%","52.90","6.95","15.79","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$17,193,348,157","2.08%","12.76","3.39","3.37","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$17,111,284,246","0.39%","17.79","4.65","7.03","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$17,097,237,961","0.00%","35.21","4.54","4.31","Analyze"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$17,040,092,300","1.71%","31.41","3.09","9.51","Analyze"
"SEDG","SolarEdge Technologies Inc","Common stocks","Large cap","Information Technology","$16,997,250,021","0.00%","98.55","7.68","8.44","Analyze"
"CLX","Clorox","Common stocks","Large cap","Consumer Staples","$16,866,882,241","3.35%","36.09","2.37","41.32","Analyze"
"MOH","Molina Healthcare Inc","Common stocks","Large cap","Health Care","$16,826,355,000","0.00%","24.54","0.58","6.05","Analyze"
"BRO","Brown & Brown Inc","Common stocks","Large cap","Financials","$16,631,522,744","0.68%","27.52","5.30","3.86","Analyze"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$16,500,226,275","3.68%","30.75","5.63","2.88","Analyze"
"POOL","Pool Corp","Common stocks","Large cap","Consumer Discretionary","$16,494,731,541","0.82%","22.51","2.92","14.02","Analyze"
"APA","Apache Corp","Common stocks","Large cap","Energy","$16,421,183,603","0.69%","6.98","1.87","18.65","Analyze"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$16,367,005,263","0.00%","17.78","5.25","4.30","Analyze"
"ATO","Atmos Energy Corp","Common stocks","Large cap","Utilities","$16,231,392,801","2.28%","22.51","4.28","1.82","Analyze"
"EVRG","Evergy Inc","Common stocks","Large cap","Utilities","$16,155,270,630","3.20%","19.97","3.11","1.75","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$16,134,717,675","0.00%","26.52","4.58","3.79","Analyze"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$16,022,465,283","0.00%","-132.93","5.53","1.32","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$15,942,865,404","1.85%","8.62","1.49","2.54","Analyze"
"L","Loews Corp","Common stocks","Large cap","Financials","$15,871,507,822","0.39%","9.64","1.17","0.96","Analyze"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$15,771,158,637","2.80%","15.71","2.55","18.03","Analyze"
"DRI","Darden Restaurants Inc","Common stocks","Large cap","Consumer Discretionary","$15,706,548,093","3.45%","14.99","1.69","6.82","Analyze"
"LNT","Alliant Energy Corp","Common stocks","Large cap","Utilities","$15,682,695,395","2.63%","23.30","4.09","2.61","Analyze"
"KMX","Carmax Inc","Common stocks","Large cap","Consumer Discretionary","$15,654,046,534","0.00%","13.70","0.49","3.01","Analyze"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$15,456,781,964","3.83%","15.06","1.36","1.78","Analyze"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$15,428,542,637","1.35%","36.71","2.96","4.84","Analyze"
"IRM","Iron Mountain Incorporated","REITs","Large cap","Real Estate","$15,425,912,052","4.57%","35.43","3.31","20.90","Analyze"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$15,371,983,289","4.15%","36.20","7.93","2.42","Analyze"
"HWM","Howmet Aerospace Inc.","Common stocks","Large cap","Industrials","$15,316,551,362","0.22%","50.95","3.01","4.52","Analyze"
"FMC","FMC Corp","Common stocks","Large cap","Materials","$15,171,904,459","1.67%","20.05","2.92","4.99","Analyze"
"AES","AES Corp","Common stocks","Large cap","Utilities","$15,167,092,538","2.69%","-103.79","1.34","4.98","Analyze"
"HST","Host Hotels & Resorts, Inc","REITs","Large cap","Real Estate","$15,124,684,028","0.14%","47.71","0.00","2.32","Analyze"
"PKG","Packaging Corp Of America","Common stocks","Large cap","Materials","$15,070,896,504","2.46%","16.50","1.87","4.02","Analyze"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$15,043,905,301","0.03%","9.88","1.38","2.99","Analyze"
"CCL","Carnival Corp","Common stocks","Large cap","Consumer Discretionary","$15,025,304,118","0.00%","-1.45","4.29","1.32","Analyze"
"OMC","Omnicom Group Inc","Common stocks","Large cap","Communication Services","$14,962,938,107","3.80%","12.02","1.05","4.98","Analyze"
"CPT","Camden Property Trust","REITs","Large cap","Real Estate","$14,895,875,804","2.43%","43.01","12.55","3.60","Analyze"
"IEX","IDEX Corp","Common stocks","Large cap","Industrials","$14,821,853,421","1.13%","31.38","5.18","5.16","Analyze"
"LKQ","LKQ Corp","Common stocks","Large cap","Consumer Discretionary","$14,789,334,328","1.43%","13.63","1.11","2.59","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$14,782,054,372","0.00%","91.68","8.43","6.32","Analyze"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$14,776,995,469","3.13%","96.34","10.97","4.44","Analyze"
"NDAQ","Nasdaq Inc","Common stocks","Large cap","Financials","$14,729,319,381","1.40%","12.62","2.55","2.46","Analyze"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$14,709,388,623","1.55%","20.36","1.69","7.68","Analyze"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$14,706,561,290","0.00%","36.47","4.20","4.00","Analyze"
"CAH","Cardinal Health Inc","Common stocks","Large cap","Health Care","$14,640,246,434","3.60%","-15.38","0.08","-21.07","Analyze"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$14,624,383,818","0.00%","-7.65","0.50","4.19","Analyze"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$14,535,422,118","0.00%","10.27","1.56","5.33","Analyze"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$14,483,710,567","0.12%","19.81","1.16","2.17","Analyze"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Large cap","Consumer Discretionary","$14,481,518,010","0.00%","-2.73","5.68","3.63","Analyze"
"LDOS","Leidos Holdings Inc","Common stocks","Large cap","Industrials","$14,475,248,996","1.33%","39.12","0.00","3.70","Analyze"
"EMN","Eastman Chemical","Common stocks","Large cap","Materials","$14,354,917,591","2.58%","17.69","1.33","2.46","Analyze"
"FDS","Factset Research Systems Inc","Common stocks","Large cap","Financials","$14,318,085,478","0.88%","34.49","8.59","11.89","Analyze"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$14,269,354,003","3.86%","85.96","0.81","0.71","Analyze"
"TECH","Bio-Techne Corp","Common stocks","Large cap","Health Care","$14,257,457,897","0.35%","63.66","13.25","8.38","Analyze"
"NLOK","NortonLifeLock Inc.","Common stocks","Large cap","Information Technology","$14,226,071,268","2.01%","22.68","5.09","-154.62","Analyze"
"KIM","Kimco Realty Corporation","REITs","Large cap","Real Estate","$13,991,674,269","3.06%","15.52","9.27","1.42","Analyze"
"CHRW","C.H. Robinson Worldwide, Inc.","Common stocks","Large cap","Industrials","$13,915,281,606","1.96%","14.48","0.55","6.50","Analyze"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$13,858,140,086","0.00%","28.72","7.37","6.61","Analyze"
"CPB","Campbell Soup","Common stocks","Large cap","Consumer Staples","$13,851,208,236","3.18%","15.27","1.67","4.19","Analyze"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$13,598,722,427","1.04%","28.71","3.10","-3.31","Analyze"
"JKHY","Jack Henry & Associates, Inc.","Common stocks","Large cap","Information Technology","$13,580,424,564","1.02%","38.12","7.11","10.31","Analyze"
